Designator,Package,Quantity,Designation,Digi-Key Part
U4,QFN24,1,MPU-9150,1428-1009-1-ND
M1,XBEE-SMD,1,RN-XV,740-1044-ND
"XM1A, XM1B",10PIN 2MM SMD,2,NPPN101BFLD-RC,S5902-10-ND
U2,TSOT23-5,1,MIC5265,576-2835-1-ND
U3,SOT23-5,1,MCP73831,MCP73831T-2ACI/OTCT-ND
P2,JST-2-SMD,1,BATT,455-1749-1-ND
P3,SIL-2,1,BUTTON,
P1,SIL-2,1,5V,
P5,SIL-2,1,BATT,
P4,ICSP_PADS,1,CONN_3X2,
U1,TQFP44,1,ATMEGA32U4,ATMEGA32U4-AU-ND
J1,USB-M26FTR,1,USBMINI,ED2992CT-ND
X1,NX5032GA,1,NX5032GA,644-1037-1-ND
SW1,CL-SB-12A,1,PWR,563-1314-1-ND
"R6,R4",SM0805,2,10k,P10KACT-ND
R5,SM0805,1,2k,P2.0KACT-ND
R3,SM0805,1,470,P470ACT-ND
"R2,R1",SM0805,2,22,P22.0CCT-ND
"R7,R8",SM0805,2,4.7k,P4.7KACT-ND
D2,SM0805,1,CHARGE,160-1645-1-ND
C10,SM0805,1,2.2nF,399-5327-1-ND
"C9,C6,C2",SM0805,3,0.1uF,445-7534-1-ND
"C8,C5",SM0805,2,4.7uF,445-1605-1-ND
C7,SM0805,1,10uF,445-6857-1-ND
"C4,C1",SM0805,2,22pF,399-5568-1-ND
C3,SM0805,1,1uF,445-1358-1-ND
D1,DO214,1,GF1A,GF1A-E3/67AGICT-ND
TH1,SM1210,1,0ZCB0050FF2G,507-1489-1-ND
